,Incident_ID,Date,Location,Area_Burned (Acres),Homes_Destroyed,Businesses_Destroyed,Vehicles_Damaged,Injuries,Fatalities,Estimated_Financial_Loss (Million $),Cause
0,INC1000,2020-11-22,Sonoma_County,14048,763,474,235,70,19,2270.57,Lightning
1,INC1001,2021-09-23,Sonoma_County,33667,1633,4,263,100,2,1381.14,Lightning
2,INC1002,2022-02-10,Shasta_County,26394,915,291,31,50,6,2421.96,Human Activity
3,INC1003,2021-05-17,Sonoma_County,20004,1220,128,34,28,0,3964.16,Unknown
4,INC1004,2021-09-22,Sonoma_County,40320,794,469,147,0,15,1800.09,Unknown
5,INC1005,2023-05-17,Butte_County,48348,60,205,21,58,2,4458.29,Human Activity
6,INC1006,2018-04-29,San_Diego_County,16038,1404,137,64,13,11,713.8,Human Activity
7,INC1007,2015-08-23,Napa_Valley,24519,121,28,125,0,5,2001.33,Lightning
8,INC1008,2023-12-08,Sonoma_County,20418,299,264,208,33,4,1012.23,Unknown
9,INC1009,2018-12-01,Butte_County,21351,275,196,153,41,2,2611.9,Lightning
10,INC1010,2018-10-30,Riverside_County,34157,623,41,143,58,17,2529.7,Human Activity
11,INC1011,2021-09-30,Santa_Barbara_County,20800,1739,183,78,12,18,1630.38,Human Activity
12,INC1012,2020-02-08,Sonoma_County,9544,382,244,24,32,19,98.69,Unknown
13,INC1013,2016-06-27,San_Diego_County,14737,505,434,247,16,8,801.44,Human Activity
14,INC1014,2016-03-22,Napa_Valley,17421,1161,319,300,97,16,1488.8,Unknown
15,INC1015,2022-06-08,Los_Angeles_County,3668,142,493,32,26,19,3576.23,Lightning
16,INC1016,2018-02-22,Riverside_County,13416,1766,441,223,13,2,927.62,Lightning
17,INC1017,2014-04-16,Sonoma_County,25094,1014,288,269,30,12,268.91,Human Activity
18,INC1018,2021-08-11,Mendocino_County,35889,1212,483,19,39,14,603.55,Human Activity
19,INC1019,2022-09-25,Orange_County,44974,270,83,50,82,7,268.08,Human Activity
20,INC1020,2019-09-05,Napa_Valley,36784,461,215,195,33,9,1691.28,Human Activity
